symbol,age,outcome,r,gross_r,cost_r
ONDO/USDT,24,zone_not_touched,,,
ONDO/USDT,7,SL,-1.6208892370070223,-1.2072964123356758,0.4135928246713465
ONDO/USDT,12,+1R,0.5805680954070869,1.0,0.41943190459291313
ONDO/USDT,65,data_quality_ambiguous,,,0.4159339622641706
ONDO/USDT,5,BE,0.05579845208063039,0.48834459224050275,0.43254614015987236
ONDO/USDT,9,+2R,1.4521594736236543,2.0,0.5478405263763457
ONDO/USDT,0,SL,-1.593440607323599,-1.1974802024411804,0.3959604048824185
ONDO/USDT,68,data_quality_ambiguous,,,0.41095329502385036
ONDO/USDT,1,+2R,1.5903767610184603,2.0,0.4096232389815397
ONDO/USDT,451,data_quality_ambiguous,,,0.4144850881818837
ONDO/USDT,567,BE,0.05315211713162754,0.4651840328804885,0.41203191574886094
ONDO/USDT,1,+2R,1.7262719326596419,2.0,0.2737280673403581
ONDO/USDT,16,+2R,1.7810483969385846,2.0,0.21895160306141537
SOON/USDT,7,+2R,1.7500270823302735,2.0,0.2499729176697265
SOON/USDT,79,BE,0.01909255649138103,0.1670968703779874,0.14800431388660637
SOON/USDT,2,SL,-1.3559121908704528,-1.1183040636234758,0.23760812724697697
SOON/USDT,206,SL,-1.3751214102407565,-1.1247071367469261,0.2504142734938305
SOON/USDT,41,data_quality_ambiguous,,,0.26104983660131
SOON/USDT,49,BE,0.03519559322035265,0.30802964919197745,0.2728340559716248
SOON/USDT,0,+2R,1.63074468085104,2.0,0.36925531914896015
SOON/USDT,17,SL,-1.5201222840257336,-1.173040761341917,0.3470815226838167
SOON/USDT,1,SL,-1.5602813386273424,-1.1864271128757817,0.37385422575156074
SOON/USDT,10,BE,0.04833284394052845,0.42300605278197784,0.3746732088414494
SOON/USDT,78,BE,0.048323479084017296,0.42292409213847876,0.37460061305446146
AAVE/USDT,3,+1R,0.6784171615836374,1.0,0.3215828384163626
AAVE/USDT,13,data_quality_ambiguous,,,0.3459999737574403
AAVE/USDT,13,BE,0.05020799012423327,0.439417215893602,0.3892092257693687
AAVE/USDT,23,+1R,0.5890658980251005,1.0,0.4109341019748996
AAVE/USDT,1,BE,0.0511625112026311,0.44777112517665757,0.39660861397402647
AAVE/USDT,192,SL,-1.5076734894750596,-1.1688911631583505,0.338782326316709
AAVE/USDT,2,+1R,0.6115568544803414,1.0,0.3884431455196587
AAVE/USDT,2,BE,0.05143823548179577,0.4501842469687167,0.3987460114869209
AAVE/USDT,14,zone_not_touched,,,
AAVE/USDT,9,+1R,0.6061264276332246,1.0,0.39387357236677545
AAVE/USDT,30,SL,-1.7720334973828358,-1.2570111657942964,0.5150223315885393
AAVE/USDT,239,+2R,1.6144109696988396,2.0,0.3855890303011605
AAVE/USDT,19,SL,-1.7182507318094131,-1.2397502439364805,0.4785004878729327
AAVE/USDT,4,+2R,1.5503827187551047,2.0,0.4496172812448953
AAVE/USDT,19,BE,0.05664892307232944,0.49578786161728994,0.4391389385449605
AAVE/USDT,5,zone_not_touched,,,
AAVE/USDT,10,SL,-1.6690877865535299,-1.2233625955178236,0.44572519103570624
AAVE/USDT,0,+2R,1.537011802404015,2.0,0.4629881975959852
AAVE/USDT,11,+1R,0.5174074633630508,1.0,0.4825925366369492
AAVE/USDT,758,data_quality_ambiguous,,,0.413940577249575
AAVE/USDT,12,BE,0.04212034803404541,0.3686346738795321,0.3265143258454867
WLD/USDT,0,+2R,1.7084901847574951,2.0,0.2915098152425048
WLD/USDT,7,data_quality_ambiguous,,,0.30072944808954283
WLD/USDT,23,data_quality_ambiguous,,,0.3559573342736312
WLD/USDT,1,+1R,0.6710672469174167,1.0,0.3289327530825833
WLD/USDT,284,SL,-1.4698743372216598,-1.1569581124072266,0.31291622481443315
WLD/USDT,4,BE,0.03922841967431678,0.34332469621940825,0.30409627654509147
WLD/USDT,5,SL,-1.430598993288577,-1.1431996644295188,0.28739932885905806
WLD/USDT,5,SL,-1.5390925860234423,-1.180030862007836,0.3590617240156064
WLD/USDT,67,+2R,1.6531418843491643,2.0,0.34685811565083563
WLD/USDT,178,data_quality_ambiguous,,,0.311933044316014
WLD/USDT,284,+2R,1.6812735849056453,2.0,0.31872641509435473
WLD/USDT,650,+1R,0.6923999649767916,1.0,0.3076000350232085
WLD/USDT,5,+2R,1.7717023246245578,2.0,0.22829767537544216
WLD/USDT,7,BE,0.03550913004482287,0.3107737040358624,0.27526457399103954
WLD/USDT,17,+1R,0.6837304177545613,1.0,0.31626958224543866
WLD/USDT,4,BE,0.03840627376423972,0.33612932620035507,0.29772305243611535
WLD/USDT,10,+1R,0.6812538798612288,1.0,0.31874612013877124
WLD/USDT,1,+1R,0.6696781565416114,1.0,0.33032184345838855
WLD/USDT,58,BE,0.044240158310046185,0.3871871219536807,0.34294696364363453
WLD/USDT,6,data_quality_ambiguous,,,0.22757289204098044
KAITO/USDT,11,SL,-1.3289913131478694,-1.1099971043826276,0.21899420876524184
KAITO/USDT,31,BE,0.028952208689664555,0.25338793496615136,0.2244357262764868
KAITO/USDT,79,+2R,1.7968955512572526,2.0,0.2031044487427474
KAITO/USDT,19,+2R,1.7788530487306595,2.0,0.22114695126934056
KAITO/USDT,11,SL,-1.258544594361576,-1.0858481981205195,0.17269639624105657
KAITO/USDT,8,BE,0.031377218229039244,0.27461146806666686,0.24323424983762762
KAITO/USDT,8,data_quality_ambiguous,,,0.26482781869100946
KAITO/USDT,293,SL,-1.4507878289473681,-1.1505959429824428,0.30019188596492535
KAITO/USDT,347,+2R,1.7994440765608892,2.0,0.20055592343911074
PUMP/USDT,4,BE,0.023016899067529573,0.20144247323434014,0.17842557416681057
PUMP/USDT,2,SL,-1.3520743146537693,-1.1170247715512702,0.23504954310249898
PUMP/USDT,59,+2R,1.77830828287198,2.0,0.22169171712801986
PUMP/USDT,3,data_quality_ambiguous,,,0.20406447645819234
PUMP/USDT,3,zone_not_touched,,,
PUMP/USDT,22,SL,-1.3590639534883775,-1.119354651162786,0.23970930232559143
PUMP/USDT,16,SL,-1.3462178385016825,-1.11507261283389,0.2311452256677925
PUMP/USDT,2,data_quality_ambiguous,,,0.20250199811088385
PUMP/USDT,124,SL,-1.2915979640402093,-1.097532654680078,0.19406530936013117
PUMP/USDT,13,BE,0.027489304615383375,0.24058468923076815,0.21309538461538477
PUMP/USDT,55,+2R,1.7621120048963888,2.0,0.23788799510361125
PUMP/USDT,142,BE,0.029824119472443733,0.2610188440651553,0.23119472459271156
PUMP/USDT,3,+1R,0.7178948152562517,1.0,0.2821051847437483
PUMP/USDT,2,+2R,1.76457109283195,2.0,0.23542890716805007
PUMP/USDT,0,BE,0.02101577956988926,0.1839287994915404,0.16291301992165114
PUMP/USDT,14,BE,0.018881174670685313,0.16524686979221856,0.14636569512153325
BEAT/USDT,41,+2R,1.8131706366168618,2.0,0.18682936338313827
BEAT/USDT,185,data_quality_ambiguous,,,0.08983328814647151
BEAT/USDT,35,+2R,1.91945072483043,2.0,0.08054927516957004
BEAT/USDT,39,+1R,0.885169028600875,1.0,0.11483097139912506
BEAT/USDT,0,+1R,0.9112140101779281,1.0,0.0887859898220719
BEAT/USDT,35,+1R,0.9135634610675427,1.0,0.08643653893245731
BEAT/USDT,172,BE,0.007918242163033731,0.06929996435708655,0.061381722194052815
BEAT/USDT,204,data_quality_ambiguous,,,0.10055777016505667
BEAT/USDT,5,BE,0.004295250098331926,0.03759176248852489,0.03329651239019296
BEAT/USDT,20,BE,0.008731417967218935,0.07641682856583636,0.06768541059861742
SUI/USDT,0,zone_not_touched,,,
SUI/USDT,0,+1R,0.48685965307503487,1.0,0.5131403469249651
SUI/USDT,15,data_quality_ambiguous,,,0.5342033898304996
SUI/USDT,30,SL,-1.7836669848786675,-1.2608889949595827,0.5227779899190848
SUI/USDT,4,+1R,0.4380904645476673,1.0,0.5619095354523327
SUI/USDT,15,zone_not_touched,,,
SUI/USDT,17,data_quality_ambiguous,,,0.5112176108100351
SUI/USDT,1,data_quality_ambiguous,,,0.48625332586476594
SUI/USDT,136,+2R,1.448154839233517,2.0,0.5518451607664829
SUI/USDT,59,data_quality_ambiguous,,,0.4956738259920214
SUI/USDT,34,data_quality_ambiguous,,,0.5207202100137235
SUI/USDT,4,+1R,0.5235946969696634,1.0,0.47640530303033657
