symbol,age,outcome,r,gross_r,cost_r
SBIN.NS,0,+2R,1.5319218158803172,2.0,0.4680781841196827
SBIN.NS,328,+2R,1.5252360818551767,2.0,0.47476391814482327
SBIN.NS,0,Neither,-0.75475076343104,-0.2622722118304186,0.4924785516006214
SBIN.NS,9,data_quality_ambiguous,,,0.502002071184771
SBIN.NS,3,SL,-1.77172264604974,-1.2472122988002854,0.5245103472494544
SBIN.NS,12,SL,-1.7618642502356692,-1.24405862131659,0.517805628919079
SBIN.NS,1,zone_not_touched,,,
SBIN.NS,10,+1R,0.524254763461244,1.0,0.47574523653875594
SBIN.NS,16,Neither,-1.265408412653946,-0.7464284000016268,0.5189800126523193
ITC.NS,20,zone_not_touched,,,
ITC.NS,2,zone_not_touched,,,
ITC.NS,13,+2R,1.4305881029068725,2.0,0.5694118970931275
ITC.NS,57,+1R,0.43991800002004144,1.0,0.5600819999799586
ITC.NS,219,SL,-1.7596006999511395,-1.2426544145717133,0.5169462853794262
ITC.NS,8,zone_not_touched,,,
ITC.NS,0,Neither,-0.8487369186927116,-0.30093864321313635,0.5477982754795753
ITC.NS,74,zone_not_touched,,,
ITC.NS,3,+2R,1.4689377272791742,2.0,0.5310622727208258
ITC.NS,24,SL,-1.7798350839804615,-1.249127346122965,0.5307077378574966
ITC.NS,7,zone_not_touched,,,
ITC.NS,8,zone_not_touched,,,
ITC.NS,181,zone_not_touched,,,
ITC.NS,261,zone_not_touched,,,
ITC.NS,3,zone_not_touched,,,
AXISBANK.NS,2,BE,0.05703954544665557,0.4996164564671523,0.44257691102049673
AXISBANK.NS,6,+2R,1.5517206896251445,2.0,0.44827931037485536
AXISBANK.NS,84,BE,0.05669380832280385,0.4965881020974455,0.4398942937746417
AXISBANK.NS,31,data_quality_ambiguous,,,0.5427132884324264
AXISBANK.NS,90,Neither,-0.9274559006926641,-0.4412840257013225,0.4861718749913417
AXISBANK.NS,2,SL,-1.697831634322104,-1.22289463669934,0.47493699762276387
AXISBANK.NS,217,data_quality_ambiguous,,,0.43666331262751545
AXISBANK.NS,25,Neither,-1.0260269084111924,-0.5771364373956526,0.4488904710155398
AXISBANK.NS,4,SL,-1.7443097769077531,-1.238442986854685,0.5058667900530682
AXISBANK.NS,2,zone_not_touched,,,
AXISBANK.NS,0,+1R,0.4606663198263393,1.0,0.5393336801736607
AXISBANK.NS,37,+1R,0.4481433193404052,1.0,0.5518566806595948
LT.NS,5,zone_not_touched,,,
LT.NS,15,SL,-1.646463576651691,-1.2071422190184253,0.4393213576332657
LT.NS,11,+2R,1.5245969632300507,2.0,0.4754030367699493
LT.NS,304,SL,-1.655343016972706,-1.2093026285901065,0.44604038838259935
LT.NS,1,zone_not_touched,,,
LT.NS,6,+1R,0.49883825463779397,1.0,0.501161745362206
LT.NS,57,+2R,1.4951421320079346,2.0,0.5048578679920654
LT.NS,405,zone_not_touched,,,
LT.NS,17,zone_not_touched,,,
BHARTIARTL.NS,45,+1R,0.5281081755531032,1.0,0.4718918244468968
BHARTIARTL.NS,5,zone_not_touched,,,
BHARTIARTL.NS,0,+1R,0.4888767246231721,1.0,0.5111232753768279
BHARTIARTL.NS,0,Neither,-0.774060229246228,-0.26106174952681505,0.5129984797194129
BHARTIARTL.NS,3,SL,-1.761156838250535,-1.243832321897145,0.5173245163533898
BHARTIARTL.NS,5,+2R,1.486883227655614,2.0,0.513116772344386
BHARTIARTL.NS,12,+2R,1.4699596050141621,2.0,0.530040394985838
BHARTIARTL.NS,3,zone_not_touched,,,
BHARTIARTL.NS,9,+1R,0.4932622406866197,1.0,0.5067377593133803
BHARTIARTL.NS,138,zone_not_touched,,,
BHARTIARTL.NS,3,+2R,1.4784023572110154,2.0,0.5215976427889845
BHARTIARTL.NS,16,+2R,1.474589501553459,2.0,0.5254104984465411
BHARTIARTL.NS,4,+2R,1.5066636197120549,2.0,0.49333638028794513
BHARTIARTL.NS,35,data_quality_ambiguous,,,0.5100287581062225
BHARTIARTL.NS,110,data_quality_ambiguous,,,0.536452337435085
BHARTIARTL.NS,28,zone_not_touched,,,
MARUTI.NS,5,SL,-1.7506591456777318,-1.2397940325264742,0.5108651131512577
MARUTI.NS,3,SL,-1.7822353488991962,-1.2505752875557026,0.5316600613434936
MARUTI.NS,2,+1R,0.47311528677444614,1.0,0.5268847132255539
MARUTI.NS,41,zone_not_touched,,,
MARUTI.NS,37,+2R,1.590250075982723,2.0,0.40974992401727717
MARUTI.NS,3,BE,0.055040334828175164,0.48210512258253796,0.4270647877543628
MARUTI.NS,0,zone_not_touched,,,
MARUTI.NS,188,SL,-1.674523484363476,-1.2154384147036177,0.45908506965985824
MARUTI.NS,252,+2R,1.4912140032453658,2.0,0.5087859967546342
MARUTI.NS,40,Neither,-1.0274707757866475,-0.5545981957351778,0.4728725800514698
MARUTI.NS,169,Neither,-0.467377801275445,-0.031452114312813396,0.43592568696263156
MARUTI.NS,19,BE,0.05607316996397893,0.49115185369900727,0.43507868373502834
MARUTI.NS,113,+2R,1.5131738853628223,2.0,0.4868261146371776
MARUTI.NS,0,SL,-1.8103452939890907,-1.2588874900796887,0.5514578039094021
MARUTI.NS,0,zone_not_touched,,,
WIPRO.NS,3,SL,-1.6369988417780346,-1.20411447273771,0.4328843690403245
WIPRO.NS,1,zone_not_touched,,,
WIPRO.NS,68,+1R,0.5996076256726512,1.0,0.40039237432734875
WIPRO.NS,3,+2R,1.5567273675109066,2.0,0.4432726324890933
WIPRO.NS,31,SL,-1.6709536552855955,-1.2142964348322525,0.4566572204533429
WIPRO.NS,4,SL,-1.654841442632391,-1.209142176145993,0.4456992664863979
WIPRO.NS,1,SL,-1.681822758679436,-1.2177734352781266,0.4640493234013095
WIPRO.NS,23,zone_not_touched,,,
WIPRO.NS,0,Neither,-0.4971785571331985,-0.019755431073700064,0.4774231260594984
WIPRO.NS,29,+2R,1.5284216349361335,2.0,0.47157836506386647
WIPRO.NS,120,+1R,0.5239029560612987,1.0,0.47609704393870134
WIPRO.NS,16,SL,-1.725240677213626,-1.2316627246364662,0.49357795257715964
WIPRO.NS,16,data_quality_ambiguous,,,0.5160660467282066
WIPRO.NS,0,Neither,-0.8927938757108448,-0.358498088818903,0.5342957868919418
SUNPHARMA.NS,2,+1R,0.490538946595077,1.0,0.509461053404923
SUNPHARMA.NS,16,SL,-1.751972066706501,-1.240894135222821,0.51107793148368
SUNPHARMA.NS,0,+1R,0.4584737410424441,1.0,0.5415262589575559
SUNPHARMA.NS,0,Neither,-0.2973629506871937,0.2517933339971406,0.5491562846843343
SUNPHARMA.NS,11,+1R,0.478979973481678,1.0,0.521020026518322
SUNPHARMA.NS,25,data_quality_ambiguous,,,0.501285450218416
SUNPHARMA.NS,33,+2R,1.5258267939647205,2.0,0.47417320603527935
SUNPHARMA.NS,33,zone_not_touched,,,
SUNPHARMA.NS,3,+1R,0.46765639364996237,1.0,0.5323436063500376
SUNPHARMA.NS,40,data_quality_ambiguous,,,0.5402504646512658
SUNPHARMA.NS,13,Neither,-0.6541634739359343,-0.12261629516233141,0.5315471787736029
SUNPHARMA.NS,72,Neither,-0.7748132994791896,-0.24556707061628485,0.5292462288629047
SUNPHARMA.NS,15,zone_not_touched,,,
SUNPHARMA.NS,0,+2R,1.4681871439668337,2.0,0.5318128560331663
SUNPHARMA.NS,7,zone_not_touched,,,
SUNPHARMA.NS,312,SL,-1.7177258587044697,-1.2292587519848133,0.4884671067196564
TITAN.NS,73,BE,0.05266818959375713,0.461327208120504,0.40865901852674685
TITAN.NS,4,SL,-1.709608262921027,-1.2273420546772016,0.4822662082438254
TITAN.NS,1,data_quality_ambiguous,,,0.48264602543617746
TITAN.NS,29,SL,-1.698208417745494,-1.2230151688245372,0.4751932489209566
TITAN.NS,3,SL,-1.6726903911932114,-1.2148520125377873,0.4578383786554242
TITAN.NS,38,SL,-1.8087607363054659,-1.2590606961949777,0.5497000401104881
TITAN.NS,8,+2R,1.4451863066161539,2.0,0.5548136933838461
TITAN.NS,4,zone_not_touched,,,
TITAN.NS,29,zone_not_touched,,,
TITAN.NS,6,zone_not_touched,,,
TITAN.NS,4,+1R,0.5130407479558585,1.0,0.4869592520441415
TITAN.NS,22,+2R,1.5010121611358562,2.0,0.49898783886414383
ONGC.NS,35,BE,0.052489292062420145,0.45976022244463144,0.4072709303822113
ONGC.NS,105,zone_not_touched,,,
ONGC.NS,212,+2R,1.5487575785594825,2.0,0.4512424214405175
ONGC.NS,7,zone_not_touched,,,
ONGC.NS,16,+1R,0.48249498669766566,1.0,0.5175050133023343
ONGC.NS,29,SL,-1.7769325564861518,-1.2481988344485377,0.5287337220376142
ONGC.NS,152,+2R,1.5419212129494855,2.0,0.4580787870505146
ONGC.NS,199,+2R,1.5353472896077307,2.0,0.4646527103922693
ONGC.NS,0,+1R,0.49233769282711337,1.0,0.5076623071728866
ONGC.NS,5,+1R,0.47233724848875125,1.0,0.5276627515112488
ONGC.NS,66,SL,-1.7554621243654052,-1.2413304940388292,0.5141316303265758
NTPC.NS,19,SL,-1.6453850552441789,-1.2061171002060773,0.4392679550381015
NTPC.NS,66,+1R,0.5687659337929958,1.0,0.4312340662070043
NTPC.NS,8,SL,-1.7029871075836924,-1.2245438603914571,0.47844324719223524
NTPC.NS,2,+1R,0.5271412682739604,1.0,0.47285873172603965
NTPC.NS,14,zone_not_touched,,,
